ap,ep,sinip,astar,iz
2.9846,0.0653,0.1744,0.094,0.07
2.6463,0.2578,0.2215,-0.08,-0.08
2.8099,0.1386,0.1782,0.21,-0.04
2.7532,0.2412,0.1286,-0.102,0.08
3.0211,0.0897,0.1683,0.058,0.05
2.7271,0.1712,0.2313,0.125,-0.09
2.6101,0.1503,0.2274,0.103,-0.03
2.678,0.1645,0.235,0.152,0.01
3.1157,0.2524,0.2851,-0.174,0.32
2.7271,0.1712,0.2313,0.09,-0.12
2.7125,0.161,0.2331,0.134,-0.19
3.1004,0.0861,0.2753,0.143,-0.19
3.0947,0.0598,0.1883,0.005,0.06
3.1545,0.233,0.2335,0.112,-0.06
2.7271,0.1712,0.2313,0.21,-0.08
2.6631,0.1461,0.2204,0.099,-0.08
2.6295,0.0676,0.2523,0.143,0.05
3.1426,0.0666,0.2758,-0.2,0.14
2.6256,0.1603,0.2235,0.103,-0.05
2.6465,0.1867,0.2278,0.112,0.03
3.2134,0.0219,0.1559,-0.151,-0.01
2.2042,0.1525,0.0369,0.112,-0.08
3.052,0.0809,0.1782,0.036,0.09
2.6802,0.145,0.2185,-0.057,0.04
2.4076,0.1885,0.0446,0.041,-0.06
3.0058,0.0776,0.0162,0.112,-0.01
3.0362,0.1381,0.1916,0.05,0.03
2.5893,0.2345,0.0561,0.116,-0.08
2.9321,0.0596,0.037,0.085,-0.04
3.459,0.0485,0.07,0.018,0.03
2.6679,0.1755,0.2357,0.077,-0.05
2.7624,0.1386,0.089,0.112,-0.3
2.5794,0.0849,0.2598,0.099,-0.02
2.6733,0.1396,0.172,-0.057,0.01
2.6726,0.1611,0.2271,0.076,-0.08
2.7227,0.27,0.121,-0.084,0.02
3.1513,0.2318,0.1917,-0.004,0.06
2.2411,0.1434,0.1182,0.166,-0.04
2.2994,0.2044,0.18,0.108,0.02
2.4044,0.2246,0.2238,0.143,-0.13
3.2087,0.0636,0.2789,-0.12,0
3.1819,0.1177,0.268,-0.071,0.02
3.1531,0.1268,0.2976,-0.057,0.05
2.5561,0.0267,0.2332,0.17,-0.03
2.2457,0.0313,0.0662,0.219,-0.01
2.4709,0.0337,0.0671,0.228,0.09
3.1427,0.115,0.1096,-0.067,0.04
2.878,0.0257,0.0343,0.081,0.04
2.8547,0.0581,0.0702,0.09,0.06
2.9073,0.067,0.037,0.063,0
2.8348,0.046,0.037,0.112,0
2.2971,0.1304,0.042,0.152,-0.05
2.6688,0.1929,0.0684,-0.035,0.04
3.1406,0.0565,0.2683,-0.044,0.15
2.7404,0.1203,0.2244,0.036,-0.03
2.9928,0.0632,0.1509,0.063,-0.03
3.0169,0.0817,0.1854,0.014,0.07
3.057,0.0719,0.1678,0.023,0
3.0671,0.1016,0.1945,-0.039,0.13
2.527,0.1346,0.1998,0.112,-0.02
2.6795,0.1626,0.2337,0.089,0.02
2.9757,0.0826,0.1841,-0.066,0.07
2.7435,0.1312,0.0862,0.103,0.02
2.5779,0.148,0.2185,0.152,0.02
2.9356,0.0365,0.207,-0.16,0.05
3.1605,0.1408,0.0255,-0.085,0.05
3.1399,0.2669,0.071,-0.075,0.08
3.1949,0.2034,0.0282,-0.111,-0.08
3.1442,0.1229,0.0917,-0.129,0.15
2.9069,0.1265,0.0384,0.107,0.05
3.0749,0.1083,0.0553,-0.106,0.06
2.6843,0.0878,0.0711,0.094,0.04
2.4658,0.1752,0.0885,-0.124,-0.02
2.2937,0.1764,0.1043,0.126,0
2.9881,0.0879,0.1243,-0.053,0.02
2.6479,0.2109,0.1028,0.17,0.01
3.1703,0.0213,0.2731,-0.009,0.1
2.7437,0.0397,0.1299,0.228,0.03
2.6808,0.1241,0.2126,0.205,-0.03
3.0226,0.0781,0.1774,0.054,0.11
2.5682,0.1485,0.2142,0.049,0.06
2.5441,0.2125,0.2127,-0.116,-0.02
2.679,0.1536,0.2242,0.09,-0.07
2.9318,0.2637,0.224,-0.076,0.12
2.7873,0.1942,0.14,-0.129,0.1
3.1378,0.151,0.0158,-0.124,0.01
2.7397,0.0556,0.0153,0.099,-0.08
2.9814,0.0548,0.1658,0.138,0.04
3.0576,0.0744,0.1694,0.085,-0.05
2.7535,0.1564,0.0966,0.156,-0.07
2.8827,0.0492,0.0371,0.085,-0.01
2.4151,0.12,0.104,0.112,-0.27
